Model Size,Dataset Fraction,Epoch,Train Loss,Train Accuracy,Test Accuracy,Test Loss
1,0.3333333333333333,246,0.04462984564957345,96.425,94.44,0.19284204836003482
1,0.3333333333333333,247,0.044074837474306676,96.54,94.22,0.19469194601289927
1,0.3333333333333333,248,0.03731663627134767,96.545,94.42,0.19391933308681472
1,0.3333333333333333,249,0.04129258282245345,96.73,94.28,0.1942913578869775
1,0.3333333333333333,250,0.04159121025519766,96.445,94.32,0.1930384095897898
1,0.3333333333333333,251,0.041350180128957054,96.63,94.32,0.19607453664997593
1,0.3333333333333333,252,0.04068919821719455,96.535,94.33,0.19433866279199719
1,0.3333333333333333,253,0.04025139996580258,96.66,94.32,0.19574742083903401
1,0.3333333333333333,254,0.03842833315490917,96.62,94.36,0.20046557039255275
1,0.3333333333333333,255,0.041742078627750374,96.515,94.44,0.19383828178979456
1,0.3333333333333333,256,0.037110727292242324,96.465,94.39,0.1959557383065112
1,0.3333333333333333,257,0.036189488022570396,96.595,94.45,0.19386889318469913
1,0.3333333333333333,258,0.039917055398795254,96.52,94.46,0.1941093940171413
1,0.3333333333333333,259,0.03984493542771051,96.56,94.46,0.1929414818249643
1,0.3333333333333333,260,0.03901992415546612,96.525,94.23,0.19303123662015423
1,0.3333333333333333,261,0.039444992235701554,96.55,94.47,0.19302252426743507
1,0.3333333333333333,262,0.03979843902360102,96.645,94.19,0.19741820820374414
1,0.3333333333333333,263,0.04156675033128945,96.695,94.44,0.19249935145489872
1,0.3333333333333333,264,0.03679153306563948,96.71,94.35,0.19146625053603203
1,0.3333333333333333,265,0.03710103863079077,96.68,94.54,0.18963846020400524
1,0.3333333333333333,266,0.0385871430633554,96.515,94.42,0.1947914000414312
1,0.3333333333333333,267,0.0375324547955185,96.665,94.25,0.1945285488315858
1,0.3333333333333333,268,0.038044949673163665,96.76,94.55,0.192996871098876
1,0.3333333333333333,269,0.03708312045901444,96.76,94.58,0.19189067385857925
1,0.3333333333333333,270,0.035828820032298946,96.605,94.28,0.1970163630344905
1,0.3333333333333333,271,0.035309647298922206,96.87,94.52,0.1931509475945495
1,0.3333333333333333,272,0.04072150841924795,96.75,94.51,0.19209434230346234
1,0.3333333333333333,273,0.035972511217852304,96.635,94.48,0.19515741620445623
1,0.3333333333333333,274,0.0355476985928739,96.68,94.43,0.19326122720260172
1,0.3333333333333333,275,0.037619513429843696,96.665,94.39,0.1940136791090481
1,0.3333333333333333,276,0.03700279095655034,96.745,94.35,0.19276868557557464
1,0.3333333333333333,277,0.03531741073272031,96.7,94.43,0.19174836586927996
1,0.3333333333333333,278,0.03629115124227135,96.855,94.58,0.18998173422180117
1,0.3333333333333333,279,0.03677582134534219,96.745,94.38,0.1920826177787967
1,0.3333333333333333,280,0.03592437982654116,96.775,94.42,0.19471752075711266
1,0.3333333333333333,281,0.0396189909475814,96.79,94.45,0.1925185431120917
1,0.3333333333333333,282,0.03441823048481516,96.77,94.37,0.1924693367513828
1,0.3333333333333333,283,0.03505957147972599,96.89,94.41,0.19241332182195037
1,0.3333333333333333,284,0.036421427432044295,96.84,94.46,0.19606946902116762
1,0.3333333333333333,285,0.03785746997803639,96.86,94.4,0.19529888675548135
1,0.3333333333333333,286,0.039703204812612504,96.875,94.59,0.19036551432684065
1,0.3333333333333333,287,0.036259828242147046,96.89,94.41,0.19238529357826337
1,0.3333333333333333,288,0.035704126403589914,96.885,94.46,0.19208671574248
1,0.3333333333333333,289,0.03678183701292724,96.885,94.39,0.19471311416244133
1,0.3333333333333333,290,0.03580194390171273,96.8,94.39,0.1922861676150933
1,0.3333333333333333,291,0.034730681117363035,96.84,94.53,0.19040845951298252
1,0.3333333333333333,292,0.03375975941871382,96.895,94.2,0.1964263978996314
1,0.3333333333333333,293,0.03463310537159823,96.86,94.53,0.19134261215804144
1,0.3333333333333333,294,0.03301068179451736,96.89,94.59,0.1904494384280406
1,0.3333333333333333,295,0.03410985364703236,97.09,94.42,0.1951394290686585
1,0.3333333333333333,296,0.034987209044444335,96.79,94.37,0.1946326392609626
1,0.3333333333333333,297,0.035728753965561556,96.81,94.4,0.19372887562029065
1,0.3333333333333333,298,0.036140091100316137,96.94,94.51,0.1922307483688928
1,0.3333333333333333,299,0.03876372718602229,96.86,94.48,0.19084816069807858
1,0.3333333333333333,300,0.032209866092937765,96.87,94.52,0.19227208567550405
1,0.6666666666666666,1,0.0921918378470424,13.3975,20.91,2.2137958574295045
1,0.6666666666666666,2,0.07653431922863847,28.4775,32.09,1.8272364687919618
1,0.6666666666666666,3,0.0656827596810679,38.7125,44.98,1.575668294429779
1,0.6666666666666666,4,0.056007654522173704,50.965,57.0,1.3324936628341675
1,0.6666666666666666,5,0.05007593014750618,60.305,64.36,1.1476125133037567
1,0.6666666666666666,6,0.041173759740762435,67.3725,70.74,0.9883553218841553
1,0.6666666666666666,7,0.03522055769880739,72.3975,75.91,0.8497435137629509
1,0.6666666666666666,8,0.033619597887459655,76.445,79.17,0.7433636686205864
1,0.6666666666666666,9,0.02829623431824267,79.0575,81.38,0.6649907538294793
1,0.6666666666666666,10,0.02646906688190497,81.2425,83.14,0.6056487865746021
1,0.6666666666666666,11,0.023778508741634723,82.905,84.33,0.5543437622487545
1,0.6666666666666666,12,0.02334104254603767,84.38,85.81,0.5108495697379112
1,0.6666666666666666,13,0.021142602538148435,85.335,86.66,0.47420420542359354
1,0.6666666666666666,14,0.01906267893961824,86.4525,87.34,0.4422332349419594
1,0.6666666666666666,15,0.017539656676423435,87.19,88.25,0.4164809465408325
1,0.6666666666666666,16,0.01825423943348967,88.0775,88.75,0.3940412858873606
1,0.6666666666666666,17,0.01604854289335184,88.5725,89.21,0.37510273277759554
1,0.6666666666666666,18,0.015514001155051941,89.085,89.72,0.35404751628637315
1,0.6666666666666666,19,0.013438878396448617,89.6175,90.14,0.33815779961645603
1,0.6666666666666666,20,0.013155260405982264,89.9525,90.49,0.32602610904723406
1,0.6666666666666666,21,0.011208369613836368,90.49,91.01,0.31224826235324143
1,0.6666666666666666,22,0.013173140990086638,90.7775,91.16,0.3001588362455368
1,0.6666666666666666,23,0.013594640472445626,91.2275,91.64,0.28884421832859514
1,0.6666666666666666,24,0.012176506578350982,91.4025,91.95,0.27672984372824433
1,0.6666666666666666,25,0.012443893824141627,91.6475,92.15,0.2698608854971826
1,0.6666666666666666,26,0.010643442194111431,91.8425,92.34,0.2617641654238105
1,0.6666666666666666,27,0.011522025345994261,92.1725,92.46,0.25448689293116333
1,0.6666666666666666,28,0.011328315630126685,92.3875,92.69,0.24719555335119367
1,0.6666666666666666,29,0.009973085155121434,92.54,92.72,0.24039020042866469
1,0.6666666666666666,30,0.00951968190578607,92.7075,92.87,0.23542761599645018
1,0.6666666666666666,31,0.011217178152011226,92.805,92.99,0.22909314970485867
1,0.6666666666666666,32,0.010082716092514916,92.88,93.19,0.2230027155112475
1,0.6666666666666666,33,0.009093084036351774,93.18,93.2,0.219496153825894
1,0.6666666666666666,34,0.011234512701392555,93.165,93.48,0.21469074737280608
1,0.6666666666666666,35,0.009378211662030449,93.3175,93.52,0.2116635422874242
1,0.6666666666666666,36,0.0094298897459865,93.4175,93.56,0.21050945091992618
1,0.6666666666666666,37,0.00832478080789883,93.55,93.55,0.20568873616866767
1,0.6666666666666666,38,0.00917260077433845,93.7225,93.86,0.2033039961475879
1,0.6666666666666666,39,0.0077510698677632755,93.85,93.86,0.19887093550525606
1,0.6666666666666666,40,0.008023245480304328,93.895,93.96,0.19673615410923959
1,0.6666666666666666,41,0.008096744838994913,93.95,94.0,0.19345653587952255
1,0.6666666666666666,42,0.007503226970712217,93.955,94.05,0.1903456516843289
1,0.6666666666666666,43,0.008644085294141556,94.065,94.1,0.18657386706210674
1,0.6666666666666666,44,0.0078060483208860455,94.36,94.15,0.18412286041304468
1,0.6666666666666666,45,0.006971305765854284,94.3325,94.26,0.18310575669631363
1,0.6666666666666666,46,0.0068772293317813085,94.3125,94.35,0.18081068926490843
1,0.6666666666666666,47,0.007082809750645305,94.33,94.43,0.1766874244203791
1,0.6666666666666666,48,0.007794747123131737,94.44,94.43,0.17773375676013528
1,0.6666666666666666,49,0.007614662138798747,94.5825,94.55,0.1722661865502596
1,0.6666666666666666,50,0.007934333798222648,94.6225,94.6,0.17076756798662246
1,0.6666666666666666,51,0.006976942975109758,94.7725,94.47,0.16992288999259472
1,0.6666666666666666,52,0.007615048902484174,94.7525,94.63,0.1684012113697827
